name,url,promoted_content,query,tweet_volume
JHOPE,http://twitter.com/search?q=JHOPE,,JHOPE,643888.0
WhatsApp,http://twitter.com/search?q=WhatsApp,,WhatsApp,256201.0
Igbo,http://twitter.com/search?q=Igbo,,Igbo,170193.0
JCOLE,http://twitter.com/search?q=JCOLE,,JCOLE,146789.0
Yoruba,http://twitter.com/search?q=Yoruba,,Yoruba,132636.0
Hancock,http://twitter.com/search?q=Hancock,,Hancock,107620.0
Bunny,http://twitter.com/search?q=Bunny,,Bunny,94447.0
Teachers,http://twitter.com/search?q=Teachers,,Teachers,94439.0
Lagosians,http://twitter.com/search?q=Lagosians,,Lagosians,78159.0
Telegraph,http://twitter.com/search?q=Telegraph,,Telegraph,66818.0
Ticketmaster,http://twitter.com/search?q=Ticketmaster,,Ticketmaster,60740.0
Bone,http://twitter.com/search?q=Bone,,Bone,53820.0
Library,http://twitter.com/search?q=Library,,Library,51673.0
